system,segment,source,target,reference,mqm_score,BLEU,chrF,COMET,char_length,num_tokens,num_types,herdan_c,cluster_id,embedding_cluster
JDExploreAcademy,1,"Avalanche at Washington state ski resort kills 1, traps 5",Lawine in Skigebiet im US-Bundesstaat Washington <v>tötet 1</v> und verschüttet 5,Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,579.0,12.512236921161914,67.03018434739818,0.8317943215370178,57,10,10,1.0,0,1
Lan-Bridge,1,"Avalanche at Washington state ski resort kills 1, traps 5","Lawine im Skigebiet des US-Bundesstaates Washington tötet <v>1</v>, fängt 5 ein",Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,648.0,5.32864224277779,46.01133186281942,0.6130651831626892,57,10,10,1.0,0,1
M2M100_1.2B-B4,1,"Avalanche at Washington state ski resort kills 1, traps 5","<v>Avalanche</v> am Washington State Ski Resort tötet 1, fällt 5",Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,1533.0,5.10809933294318,29.772568711579428,0.6828234195709229,57,10,10,1.0,0,1
Online-A,1,"Avalanche at Washington state ski resort kills 1, traps 5","Lawine im Skigebiet Washington tötet 1, <v>Fallen 5</v>",Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,698.0,10.82597837309053,35.21632640764204,0.6010027527809143,57,10,10,1.0,0,1
Online-B,1,"Avalanche at Washington state ski resort kills 1, traps 5","Lawine im Skigebiet des US-Bundesstaates Washington tötet 1, <v>fängt 5 auf</v>",Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,544.0,8.961672320242714,46.7902740981687,0.7404593825340271,57,10,10,1.0,0,1
Online-G,1,"Avalanche at Washington state ski resort kills 1, traps 5","Lawine im Skigebiet des Bundesstaates Washington tötet 1, <v>Fallen 5</v>",Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,647.0,9.507244120026236,46.51203498971419,0.6651338934898376,57,10,10,1.0,0,1
Online-W,1,"Avalanche at Washington state ski resort kills 1, traps 5",Lawine in Skigebiet im Bundesstaat Washington tötet 1 Person und verschüttet 5,Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,517.0,76.91605673134588,87.45807047290987,0.9209168553352356,57,10,10,1.0,0,1
Online-Y,1,"Avalanche at Washington state ski resort kills 1, traps 5","Lawine im Skigebiet Washington State tötet 1<v>, Fallen 5</v>",Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,631.0,6.019608768705656,32.9106794051856,0.6318257451057434,57,10,10,1.0,0,1
OpenNMT,1,"Avalanche at Washington state ski resort kills 1, traps 5","Lawinenabgang im US-Bundesstaat Washington <v>tötet 1,5 Tonnen</v>",Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,935.0,3.737437943747671,42.990896963512434,0.4040636122226715,57,10,10,1.0,0,1
PROMT,1,"Avalanche at Washington state ski resort kills 1, traps 5","Lawine im Skigebiet des Bundesstaates Washington tötet 1, <v>Fallen 5</v>",Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,906.0,9.507244120026236,46.51203498971419,0.6651338934898376,57,10,10,1.0,0,1
QUARTZ_TuneReranking,1,"Avalanche at Washington state ski resort kills 1, traps 5","Lawine im Washingtoner Skigebiet tötet 1, 5 <v>Menschen</v>",Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,863.0,6.150343144231885,32.180343380544215,0.7115643620491028,57,10,10,1.0,0,1
bleu_bestmbr,1,"Avalanche at Washington state ski resort kills 1, traps 5","Lawine im Skigebiet des Bundesstaates Washington tötet 1, <v>fängt 5 auf</v>",Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,585.0,8.961672320242714,46.971633905190195,0.7289510369300842,57,10,10,1.0,0,1
bleurt_bestmbr,1,"Avalanche at Washington state ski resort kills 1, traps 5",Lawine am Skigebiet im Staat Washington <v>tötet 1</v> und hält 5 gefangen,Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,588.0,5.538003944406129,36.25630420642057,0.7972637414932251,57,10,10,1.0,0,1
