system,num_segments,mqm_score_per_token,BLEU,chrF,COMET
JDExploreAcademy,10,0.05459927140255009,32.66618771566424,61.775083021135416,0.8229230463504791
Lan-Bridge,10,0.0643029519280703,24.708932990149716,59.038816823948494,0.7611602336168289
M2M100_1.2B-B4,10,0.09122961001480204,21.711807208233456,55.98724133345064,0.7210103332996368
Online-A,10,0.06014456655449712,27.270501449868704,59.72148727162179,0.7868873834609985
Online-B,10,0.054560853124664514,25.00480733923943,59.665942480081135,0.7705408960580826
Online-G,10,0.06226263438159349,26.326593031629713,60.8758552565033,0.7583912342786789
Online-W,10,0.04498001551035018,34.17726447285699,62.27974455633035,0.8455747425556183
Online-Y,10,0.062434773252999086,25.471897247634402,59.843116131939,0.7402860432863235
OpenNMT,10,0.07530411073825503,27.70662622948336,60.13906053916197,0.7542349547147751
PROMT,10,0.07018730588212876,25.85058599020326,61.06238760714328,0.7637725919485092
QUARTZ_TuneReranking,10,0.0652145281394053,16.27090976227087,51.31106278290641,0.7930822849273682
bleu_bestmbr,10,0.05447341952260629,28.44696746446059,62.207113691185555,0.784587225317955
bleurt_bestmbr,10,0.055316386497198305,24.415303267168618,58.16154535771092,0.8187542378902435
comet_bestmbr,10,0.05861884686182531,26.08179520619409,59.319195731568186,0.8306752979755402
refB,10,0.04730716731722503,25.122366269042956,59.532564133267606,0.8114053428173065
